   2.0130438e+03   3.4824573e-01   5.7590047e+01   4.9561944e-01  -1.0382405e-01
   2.0131999e+03   4.5450011e-01   4.6680835e+01   4.8001369e-01   1.2103878e-02
   2.0132190e+03   4.8038697e-01   1.0000000e+02   4.7809719e-01   1.5171608e-02
   2.0133504e+03   3.0873459e-01   2.4215569e+00   4.6495551e-01   1.3627155e-02
   2.0133943e+03   3.6889229e-01   3.7623573e+00   4.6057495e-01   2.9719251e-02
   2.0134381e+03   5.2769929e-01   1.0000000e+02   4.5619439e-01   5.8877242e-02
   2.0134627e+03   5.0248909e-01   6.7715838e+01   4.5373032e-01   7.8626867e-02
   2.0135065e+03   5.3769443e-01   5.6672569e+01   4.4934976e-01   1.1233751e-01
   2.0135257e+03   3.1540472e-01   1.0281049e+00   4.4743326e-01   1.2389301e-01
   2.0138761e+03   3.1129302e-01   1.0000000e+02   4.1238877e-01  -1.0306022e-01
   2.0139637e+03   2.9680769e-01   1.0000000e+02   4.0362765e-01  -7.0208679e-02
   2.0139884e+03   3.2023490e-01   1.0000000e+02   4.0116359e-01  -5.9609946e-02
   2.0142074e+03   2.3246546e-01   1.4577039e+01   3.7926078e-01  -6.7269968e-02
   2.0142266e+03   9.1103031e-02   1.2212373e+00   3.7734428e-01  -6.1834408e-02
   2.0144018e+03   4.5005418e-01   1.0000000e+02   3.5982204e-01   1.1071215e-01
   2.0144456e+03   4.7235449e-01   5.9428563e+01   3.5544148e-01   1.4174985e-01
   2.0145578e+03   4.2737130e-01   4.3343660e+01   3.4421629e-01   1.0650372e-01
   2.0147331e+03   2.9835103e-01   9.9745481e+01   3.2669405e-01  -2.7693279e-02
   2.0147769e+03   2.0308650e-01   1.7088415e+01   3.2231348e-01  -2.8688914e-02
   2.0148207e+03   2.9892851e-01   4.9400722e+01   3.1793292e-01  -2.3812310e-02
   2.0148398e+03   2.6147485e-01   6.5416043e+01   3.1601643e-01  -2.2449070e-02
   2.0148645e+03   2.9039814e-01   1.0000000e+02   3.1355236e-01  -2.3121960e-02
   2.0148836e+03   2.6290940e-01   1.0000000e+02   3.1163587e-01  -2.6226337e-02
